team1,team2,city,venue,season,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets
Chennai Super Kings,Kolkata Knight Riders,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",2026,Kolkata Knight Riders,field,Chennai Super Kings,32,0
Delhi Capitals,Chennai Super Kings,Delhi,"Arun Jaitley Stadium, Delhi",2026,Delhi Capitals,bat,Chennai Super Kings,0,8
Rajasthan Royals,Sunrisers Hyderabad,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2026,Sunrisers Hyderabad,field,Rajasthan Royals,47,0
Rajasthan Royals,Delhi Capitals,Jaipur,"Sawai Mansingh Stadium, Jaipur",2026,Rajasthan Royals,bat,Delhi Capitals,0,7
Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2026,Sunrisers Hyderabad,bat,Kolkata Knight Riders,0,7
Punjab Kings,Rajasthan Royals,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2026,Rajasthan Royals,field,Rajasthan Royals,0,6
Gujarat Titans,Royal Challengers Bengaluru,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2026,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,0,5
Gujarat Titans,Delhi Capitals,Delhi,"Arun Jaitley Stadium, Delhi",2026,Delhi Capitals,field,Gujarat Titans,1,0
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,"Sawai Mansingh Stadium, Jaipur",2026,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,5
Royal Challengers Bengaluru,Rajasthan Royals,Guwahati,"Barsapara Cricket Stadium, Guwahati",2026,Rajasthan Royals,field,Rajasthan Royals,0,6
Lucknow Super Giants,Delhi Capitals,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2026,Delhi Capitals,field,Delhi Capitals,0,6
Punjab Kings,Lucknow Super Giants,New Chandigarh,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2026,Lucknow Super Giants,field,Punjab Kings,54,0
Rajasthan Royals,Gujarat Titans,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2026,Rajasthan Royals,bat,Rajasthan Royals,6,0
Rajasthan Royals,Lucknow Super Giants,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2026,Lucknow Super Giants,field,Rajasthan Royals,40,0
Chennai Super Kings,Rajasthan Royals,Guwahati,"Barsapara Cricket Stadium, Guwahati",2026,Rajasthan Royals,field,Rajasthan Royals,0,8
Mumbai Indians,Sunrisers Hyderabad,Mumbai,"Wankhede Stadium, Mumbai",2026,Mumbai Indians,bat,Sunrisers Hyderabad,0,6
