team1,team2,city,venue,season,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets
Gujarat Lions,Kolkata Knight Riders,Kanpur,Green Park,2016,Gujarat Lions,field,Gujarat Lions,0,6
Sunrisers Hyderabad,Chennai Super Kings,Mumbai,Wankhede Stadium,2018,Chennai Super Kings,field,Chennai Super Kings,0,2
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata,Eden Gardens,2012,Kolkata Knight Riders,bat,Kolkata Knight Riders,47,0
Deccan Chargers,Kolkata Knight Riders,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2007/08,Kolkata Knight Riders,bat,Kolkata Knight Riders,23,0
Chennai Super Kings,Pune Warriors,Chennai,"MA Chidambaram Stadium, Chepauk",2011,Pune Warriors,field,Chennai Super Kings,25,0
Kings XI Punjab,Chennai Super Kings,Dharamsala,Himachal Pradesh Cricket Association Stadium,2012,Kings XI Punjab,field,Kings XI Punjab,0,6
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,Eden Gardens,2018,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,5
Rajasthan Royals,Sunrisers Hyderabad,Jaipur,"Sawai Mansingh Stadium, Jaipur",2023,Rajasthan Royals,bat,Sunrisers Hyderabad,0,4
Punjab Kings,Kolkata Knight Riders,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023,Kolkata Knight Riders,field,Punjab Kings,7,0
Lucknow Super Giants,Mumbai Indians,Mumbai,"Wankhede Stadium, Mumbai",2024,Mumbai Indians,field,Lucknow Super Giants,18,0
Punjab Kings,Royal Challengers Bengaluru,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2024,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,0,4
Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2016,Royal Challengers Bangalore,field,Sunrisers Hyderabad,15,0
Chennai Super Kings,Rajasthan Royals,Mumbai,"Wankhede Stadium, Mumbai",2021,Rajasthan Royals,field,Chennai Super Kings,45,0
Chennai Super Kings,Royal Challengers Bangalore,Chennai,"MA Chidambaram Stadium, Chepauk",2007/08,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,14,0
Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata,Eden Gardens,2011,Kolkata Knight Riders,field,Kochi Tuskers Kerala,6,0
Kings XI Punjab,Delhi Daredevils,Chandigarh,"Punjab Cricket Association Stadium, Mohali",2007/08,Delhi Daredevils,bat,Kings XI Punjab,0,4
Rajasthan Royals,Chennai Super Kings,Ahmedabad,"Sardar Patel Stadium, Motera",2015,Chennai Super Kings,bat,Rajasthan Royals,0,8
Mumbai Indians,Delhi Daredevils,Mumbai,Wankhede Stadium,2012,Delhi Daredevils,field,Delhi Daredevils,0,7
Royal Challengers Bengaluru,Punjab Kings,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",2025,Punjab Kings,field,Royal Challengers Bengaluru,6,0
Delhi Capitals,Punjab Kings,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024,Punjab Kings,field,Punjab Kings,0,4
Rajasthan Royals,Mumbai Indians,Jaipur,Sawai Mansingh Stadium,2007/08,Rajasthan Royals,field,Rajasthan Royals,0,5
